Index,위도값,경도값,RSE_ID,ExitingCount,EnteringCount,Address,Date
83,36.28039,127.67961,262004734,20498,20507,대한민국 충청북도 옥천군 동이면 조령리 산40-2,2024-04-11
65,35.918066,129.006783,362003161,26110,27192,대한민국 경상북도 영천시 북안면 임포리 385-5,2024-04-10
81,36.21047,127.94939,262004437,27840,27838,대한민국 충청북도 영동군 추풍령면 계룡리 241-1,2024-04-07
8,36.91226,127.18921,162005757,120137,119950,대한민국 충청남도 천안시 서북구 입장면 용정리 51-8,2024-04-19
17,36.51436,127.42951,162005164,83311,83861,대한민국 충청북도 청주시 서원구 현도면 우록리 773-22,2024-04-04
83,36.28039,127.67961,262004734,21497,21500,대한민국 충청북도 옥천군 동이면 조령리 산40-2,2024-04-16
76,35.87981,128.83829,262003338,27598,27551,대한민국 경상북도 경산시 진량읍 문천리 산26-2,2024-04-14
51,36.1362,128.31906,262004031,39376,39267,대한민국 경상북도 구미시 도량동 449,2024-04-18
32,36.37486,127.43024,162005000,62282,60955,대한민국 대전광역시 대덕구 법동 산14-3,2024-04-03
41,35.90045,128.67529,262003501,53639,52465,대한민국 대구광역시 동구 둔산동 594-2,2024-04-02
75,36.27247,127.73767,262004680,25812,25804,대한민국 충청북도 영동군 용산면 부상리 408-1,2024-04-16
5,36.91226,127.18921,162005757,128815,128846,대한민국 충청남도 천안시 서북구 입장면 용정리 51-8,2024-04-02
93,36.29766,127.59916,462004812,5412,5381,대한민국 충청북도 옥천군 옥천읍 매화리 291-9,2024-04-22
11,37.05325,127.13641,162005925,118184,114948,대한민국 경기도 안성시 원곡면 지문리 산133-4,2024-04-06
33,36.04974,128.40865,262003880,67285,67951,대한민국 경상북도 칠곡군 석적읍 포남리 597-8,2024-04-06
87,36.2971,127.59527,462004814,9100,9096,대한민국 충청북도 옥천군 옥천읍 매화리 251-4,2024-04-19
89,36.42691,127.41836,162005062,8733,7825,대한민국 대전광역시 대덕구 상서동 352-7,2024-04-11
15,37.12663,127.09778,162006045,105667,101305,대한민국 경기도 평택시 진위면 동천리 596-3,2024-04-07
87,36.29766,127.59916,462004812,8771,8788,대한민국 충청북도 옥천군 옥천읍 매화리 291-9,2024-04-13
68,35.724461,129.194676,362002843,27656,27722,대한민국 경상북도 경주시 내남면 월산리 1097-3,2024-04-11
1,37.09439,127.12184,162005969,170439,170992,대한민국 경기도 용인시 처인구 남사읍 진목리 949-383,2024-04-07
29,35.97664,128.43275,262003788,71687,70946,대한민국 경상북도 칠곡군 왜관읍 삼청리 21-29번지,2024-04-13
76,35.576942,129.133043,362002668,23158,22785,대한민국 울산광역시 울주군 언양읍 직동리 945-20,2024-04-18
13,37.37306,127.10556,462006299,108329,109753,대한민국 경기도 성남시 분당구 성남대로407번길 26,2024-04-01
51,35.49417,129.09639,262002573,35885,36204,대한민국 경상남도 양산시 하북면 순지리 16-2,2024-04-05
56,35.32861,129.05694,262002365,35082,35052,대한민국 경상남도 양산시 동면 내송리 산76-1,2024-04-06
23,36.55249,127.43174,162005208,61640,67404,대한민국 충청북도 청주시 서원구 남이면 외천리 187-6,2024-04-12
54,35.54778,129.12444,262002639,43214,42823,대한민국 울산광역시 울주군 삼남읍 신화리 산39-3,2024-04-09
57,35.54778,129.12444,262002639,31073,31536,대한민국 울산광역시 울주군 삼남읍 신화리 산39-3,2024-04-10
66,36.15672,128.19537,262004150,27930,28446,대한민국 경상북도 김천시 아포읍 대신리 885-45,2024-04-03
37,36.64024,127.37826,162005324,47705,47615,대한민국 충청북도 청주시 흥덕구 강내면 학천리 511-4,2024-04-12
2,37.12583,127.09694,162006016,156729,155176,대한민국 경기도 평택시 진위면 동천리 602-2,2024-04-07
84,36.28039,127.67961,262004734,18097,18137,대한민국 충청북도 옥천군 동이면 조령리 산40-2,2024-04-17
